ID,ODNB_ID,displayName,prefix,firstName,lastName,suffix,title,gender,birthYearType,birthYear,deathYearType,deathYear
10001822,4107,Joseph Burroughs,,Joseph,Burroughs,,,male,IN,1685,IN,1761
10007344,16491,Henry Leslie,,Henry,Leslie,,,male,IN,1580,IN,1661
10002059,4627,Sir George Carew,Sir,George,Carew,,,male,IN,1556,IN,1612
10010287,23610,James Riddell,,James,Riddell,,,male,AF,1564,IN,1674
10006975,15661,Edward Kirke,,Edward,Kirke,,,male,IN,1553,IN,1613
10001326,2939,John Boste,,John,Boste,,,male,IN,1544,IN,1594
10000658,1432,Francis Barlow,,Francis,Barlow,,,male,AF,1594,IN,1704
10004362,65777,Bridget Fleetwood,,Bridget,Fleetwood,,,female,IN,1624,IN,1662
10012659,28992,Ralph Weldon,,Ralph,Weldon,,,male,IN,1606,IN,1676
10006323,14033,Jeffery Hudson,,Jeffery,Hudson,,,male,IN,1619,IN,1682
10012192,27949,James Tyrie,,James,Tyrie,,,male,IN,1543,IN,1597
10008772,19970,John Nevison,,John,Nevison,,,male,AF,1574,IN,1684
10003531,7684,John Disney,,John,Disney,,,male,IN,1677,IN,1730
10010285,23598,Christian Richter,,Christian,Richter,,,male,IN,1678,IN,1732
10005595,12445,Stephen Harrison,,Stephen,Harrison,,,male,IN,1604,IN,1605
10005431,12057,Claud Hamilton,,Claud,Hamilton,,,male,CA,1546,IN,1621
10005250,11605,Piers Griffith,,Piers,Griffith,,,male,IN,1568,IN,1628
10000441,67711,Brabazon Aylmer,,Brabazon,Aylmer,,,male,IN,1645,AF/IN,1719
10005018,11076,Robert Gordon of Straloch,,Robert,Gordon,of Straloch,,male,IN,1580,IN,1661
10000838,1823,David Beaton,,David,Beaton,,,male,CA,1494,IN,1546
10006268,73837,Mary Howard,,Mary,Howard,,,female,IN,1692,IN,1754
10002828,6287,John Corbet,,John,Corbet,,,male,IN,1603,IN,1641
10002827,6288,Sir John Corbet,Sir,John,Corbet,,,male,IN,1594,IN,1662
10010023,37872,Sir Robert Pye,Sir,Robert,Pye,,,male,IN,1585,IN,1662
10010036,47067,Edward Pyott,,Edward,Pyott,,,male,AF,1560,IN,1670
10002914,6486,Miles Coverdale,,Miles,Coverdale,,,male,IN,1488,IN,1569
10005994,13370,Robert Hitchcock,,Robert,Hitchcock,,,male,IN,1573,IN,1591
10007849,17740,James Macrae,,James,Macrae,,,male,IN,1677,IN,1744
10007354,16502,William Leslie,,William,Leslie,,,male,AF,1544,IN,1654
10008628,19591,Andrew Murray,,Andrew,Murray,,,male,IN,1597,IN,1644
10002528,5602,Gregory Clements,,Gregory,Clements,,,male,IN,1594,IN,1660
10011365,26131,John Spencer,,John,Spencer,,,male,IN,1600,IN,1671
10008748,19920,John Nevell,,John,Nevell,,,male,AF,1587,IN,1697
10005707,63430,Alexander Hay,,Alexander,Hay,,,male,AF,1529,IN,1639
10009728,22302,William Pinkethman,,William,Pinkethman,,,male,CA,1660,IN,1725
10007751,17383,Florence MacCarthy Reagh,,Florence,MacCarthy Reagh,,,male,IN,1562,IN,1640
10003331,7284,John Davis,,John,Davis,,,male,AF,1511,IN,1621
10012265,28141,Robert Powell Vaughan,,Robert Powell,Vaughan,,,male,IN,1591,IN,1667
10001327,2943,Thomas Boston,,Thomas,Boston,,,male,IN,1676,IN,1732
10001511,3328,John Brereton,,John,Brereton,,,male,IN,1571,CA,1619
10012977,29688,Thomas Wilson,,Thomas,Wilson,,,male,IN,1523,IN,1581
10009085,20586,John Ogilvie,,John,Ogilvie,,,male,IN,1578,IN,1615
10008919,20346,Sir John Norton,Sir,John,Norton,,,male,AF,1424,IN,1534
10009327,21340,Thomas Parker,,Thomas,Parker,,,male,IN,1595,IN,1677
10005792,12900,Alexander Henderson,,Alexander,Henderson,,,male,IN,1583,IN,1646
10012846,29341,Jane Whorwood,,Jane,Whorwood,,,female,IN,1612,IN,1684
10003941,8714,Welbore Ellis,,Welbore,Ellis,,,male,IN,1661,IN,1734
10000011,6,John Abbot,,John,Abbot,,,male,IN,1587,CA,1650
10008006,37740,William Marshall,,William,Marshall,,,male,IN,1671,IN,1792
10000999,70828,Sir Maurice Berkeley,Sir,Maurice,Berkeley,,,male,IN,1514,IN,1581
10010045,22962,James Quin,,James,Quin,,,male,IN,1693,IN,1766
10011149,69912,Alexander Skene of Newtyle,,Alexander,Skene,of Newtyle,,male,CA,1621,IN,1694
10009297,69097,Jane Papillon,,Jane,Papillon,,,female,IN,1627,IN,1698
10011759,26890,Richard Symonds,,Richard,Symonds,,,male,IN,1617,IN,1660
10007180,16122,Rowland Laugharne,,Rowland,Laugharne,,,male,IN,1607,IN,1675
10006875,15469,William Kerr,,William,Kerr,,,male,IN,1661,IN,1722
10001600,3539,Elizabeth Brooke,,Elizabeth,Brooke,,,female,CA,1602,IN,1683
10006225,13860,Sir James Houblon,Sir,James,Houblon,,,male,IN,1629,IN,1700
10000136,386,Ralph Allen,,Ralph,Allen,,,male,IN,1693,IN,1764
10011771,26910,Sir Robert Tabor,Sir,Robert,Tabor,,,male,IN,1642,IN,1681
10003855,8424,Samuel Eaton,,Samuel,Eaton,,,male,AF,1555,IN,1665
10000762,1633,William Basse,,William,Basse,,,male,CA,1583,CA,1653
10013281,10543,Prince George of Denmark,Prince,George,,of Denmark,,male,IN,1653,IN,1708
10003856,8425,Theophilus Eaton,,Theophilus,Eaton,,,male,IN,1590,IN,1658
10003532,67266,William Disney,,William,Disney,,,male,AF/IN,1633,IN,1685
10007713,17286,Sir Thomas Lyon of Auldbar,Sir,Thomas,Lyon,of Auldbar,,male,IN,1546,IN,1608
10013118,29976,Thomas Worlidge,,Thomas,Worlidge,,,male,IN,1700,IN,1766
10005699,12692,Nicholas Hawksmoor,,Nicholas,Hawksmoor,,,male,CA,1662,IN,1736
10003375,7379,Thomas Deacon,,Thomas,Deacon,,,male,IN,1697,IN,1753
10004596,10216,John Fryer,,John,Fryer,,,male,IN,1498,IN,1563
10006432,14309,Matthew Hutton,,Matthew,Hutton,,,male,IN,1638,IN,1711
10003104,6856,Thomas Crystall,,Thomas,Crystall,,,male,IN,1468,IN,1535
10000765,1652,William Basset,,William,Basset,,,male,IN,1644,IN,1696
10006479,14432,Thomas Innes,,Thomas,Innes,,,male,IN,1662,IN,1744
10005425,12046,Anne Hamilton,,Anne,Hamilton,,,female,IN,1632,IN,1716
10006785,15265,George Keith,,George,Keith,,,male,IN,1692,IN,1778
10006618,37603,William Jessop,,William,Jessop,,,male,IN,1603,IN,1675
10002222,40627,Henry Cavendish,,Henry,Cavendish,,,male,IN,1630,IN,1691
10009892,22678,Sir Littleton Powys,Sir,Littleton,Powys,,,male,IN,1647,IN,1732
10007181,16124,Richard Laughton,,Richard,Laughton,,,male,IN,1670,IN,1723
10010934,66005,Sir John Shairp of Houston,Sir,John,Shairp,of Houston,,male,AF,1497,IN,1607
10003156,6948,Edmund Curll,,Edmund,Curll,,,male,AF,1637,IN,1747
10012976,29690,Sir Thomas Wilson,Sir,Thomas,Wilson,,,male,AF,1566,IN,1629
10013159,30057,Samuel Wright,,Samuel,Wright,,,male,IN,1683,IN,1746
10010024,22921,Sir Robert Pye,Sir,Robert,Pye,,,male,IN,1622,IN,1701
10000138,387,Thomas Allen,,Thomas,Allen,,,male,CA,1540,IN,1632
10010248,23482,Christopher Rich,,Christopher,Rich,,,male,IN,1647,IN,1714
10006788,15270,Robert Keith,,Robert,Keith,,,male,IN,1681,IN,1757
10005670,12618,Francis Hauksbee,,Francis,Hauksbee,,,male,IN,1660,IN,1713
10005949,13304,Edmund Hill,,Edmund,Hill,,,male,IN,1564,IN,1644
10007356,16503,William Leslie,,William,Leslie,,,male,IN,1657,IN,1727
10010602,24446,Lionel Cranfield Sackville,,Lionel Cranfield,Sackville,,,male,IN,1688,IN,1765
10013089,68286,Thomas Wood,,Thomas,Wood,,,male,AF,1467,IN,1577
10001154,2591,William Blakeney,,William,Blakeney,,,male,IN,1671,IN,1761
10011150,25667,Sir James Skene of Curriehill,Sir,James,Skene,of Curriehill,,male,IN,1578,IN,1633
10011151,0,Sir John Skene of Curriehill,Sir,John,Skene,of Curriehill,,male,CA,1540,IN,1617
10001004,2231,Patrick Bermingham,,Patrick,Bermingham,,,male,IN,1460,IN,1532
10013024,29781,Clifton Wintringham,,Clifton,Wintringham,,,male,IN,1689,IN,1748
10005254,11629,Nicholas Grimald,,Nicholas,Grimald,,,male,IN,1519,BF/IN,1562
10007896,17869,John Malcome,,John,Malcome,,,male,IN,1656,IN,1729
10001990,76332,Colin Campbell of Glenorchy,,Colin,Campbell,of Glenorchy,,male,IN,1468,IN,1523
10004880,10784,George Gledstanes,,George,Gledstanes,,,male,IN,1562,IN,1615
10007818,63630,Charles Mackie,,Charles,Mackie,,,male,IN,1688,IN,1770
10006981,15674,James Kirkpatrick,,James,Kirkpatrick,,,male,IN,1676,IN,1743
10006551,14652,John Janeway,,John,Janeway,,,male,IN,1633,IN,1657
10010709,24701,Margaret Saunders,,Margaret,Saunders,,,female,IN,1686,IN,1745
10004601,10221,William Fulbecke,,William,Fulbecke,,,male,IN,1559,AF/IN,1602
10008409,58506,George Montgomery,,George,Montgomery,,,male,IN,1569,IN,1621
10008007,18160,Sir John Marsham,Sir,John,Marsham,,,male,IN,1602,IN,1685
